ROOT_MEM_NAME	TYPE	NUM_FRAMES	PARTS	BOX_SIZE	STATIC	HEIGHT	SCRIPT_NAME	SKIP_IMPORT	
symbol	symbol	num	symbolList	list	num	num	string	num	
arbo_boges_bkg	BKGRND	6	[#heightmap, #heightmapend, #heightmapstart, #visual, #visualend, #visualstart]	800, 480	0	1	ActionZoneBogeBackground	1	
arbo_boges_BOGE_GENERATOR	arbo_boges	1	[]	40, 40	1	1	ActionZoneBogeFlock	0	
arbo_boges_boge_shadow	arbo_boges	1	[]	40, 40	1	1	ActionZoneElement	0	
arbo_boges_bogegenerator	arbo_boges	2	[#off, #on]	57, 51	1	1	ActionZoneElement	0	
arbo_boges_BogeObstacle	arbo_boges	1	[]	80, 80	1	1	ActionZoneFlockSafeArea	0	
arbo_boges_boges	arbo_boges	3	[]	30, 30	1	1	ActionZoneElement	0	
arbo_boges_bogexplosion	arbo_boges	4	[]	25, 25	1	1	ActionZoneElement	0	
arbo_boges_countdown	arbo_boges	9	[]	11, 12	1	1	ActionZoneElement	0	
arbo_caverns_bkg	BKGRND	3	[#heightmap, #mask, #visual]	1540, 440	1	1	ActionZoneBackgroundWithMask	1	
arbo_caverns_prison	arbo_caverns	1	[]	80, 80	1	1	ActionZoneElement	0	
arbo_caverns_prison_door	arbo_caverns	1	[]	4, 41	1	1	ActionZoneElement	0	
arbo_drakmeer_bkg	BKGRND	2	[#heightmap, #visual]	1540, 880	1	1	ActionZoneBackground	1	
arbo_drakmeer_chutelights	arbo_drakmeer	2	[#off, #on]	10, 16	1	1	ActionZoneElement	0	
arbo_drakmeer_fan	arbo_drakmeer	4	[]	24, 24	1	1	ActionZoneElement	0	
arbo_drakmeer_junk_lg_1	arbo_drakmeer	1	[]	79, 81	1	1	ActionZoneElement	0	
arbo_drakmeer_junk_med_1	arbo_drakmeer	1	[]	53, 49	1	1	ActionZoneElement	0	
arbo_drakmeer_junk_sm_1	arbo_drakmeer	1	[]	25, 26	1	1	ActionZoneElement	0	
arbo_drakmeer_lgchute	arbo_drakmeer	5	[]	50, 103	1	1	ActionZoneElement	0	
arbo_drakmeer_medchute	arbo_drakmeer	5	[]	57, 76	1	1	ActionZoneElement	0	
arbo_drakmeer_smallchute	arbo_drakmeer	5	[]	50, 43	1	1	ActionZoneElement	0	
arbo_drakmeer_vilda	arbo_drakmeer	7	[]	41, 43	1	1	ActionZoneElement	0	
arbo_euripides_artisoidmist_explosion	arbo_euripides	6	[]	67, 68	1	1	ActionZoneElement	0	
arbo_euripides_bkg	BKGRND	3	[#heightmap, #mask, #visual]	3080, 440	1	1	ActionZoneBackgroundWithMask	1	
arbo_euripides_bridge	arbo_euripides	1	[]	308, 233	1	1	ActionZoneElement	0	
arbo_euripides_item_artisoidmist	arbo_euripides	1	[]	21, 19	1	1	ActionZoneElement	0	
arbo_jungle_birdsflying__1	arbo_jungle	1	[]	34, 35	1	1	ActionZoneElement	0	
arbo_jungle_bkg	BKGRND	2	[#heightmap, #visual]	1540, 880	1	1	ActionZoneBackground	1	
arbo_jungle_branch_extender	arbo_jungle	1	[]	64, 61	1	1	ActionZoneElement	0	
arbo_jungle_eyesindark	arbo_jungle	1	[]	44, 27	1	1	ActionZoneElement	0	
arbo_jungle_quicksandbeast	arbo_jungle	1	[]	80, 69	1	1	ActionZoneElement	0	
arbo_jungle_quicksandbub	arbo_jungle	8	[]	48, 48	1	1	ActionZoneElement	0	
arbo_jungle_snake	arbo_jungle	1	[]	33, 20	1	1	ActionZoneElement	0	
arbo_miningcamp_bkg	BKGRND	2	[#heightmap, #visual]	1540, 880	1	1	ActionZoneBackground	1	
arbo_miningcamp_canopy	arbo_miningcamp	1	[]	181, 139	1	1	ActionZoneElement	0	
arbo_miningcamp_mining_bridge1	arbo_miningcamp	1	[]	102, 104	1	1	ActionZoneElement	0	
arbo_miningcamp_mining_bridge2	arbo_miningcamp	1	[]	97, 99	1	1	ActionZoneElement	0	
arbo_miningcamp_mining_bridge3	arbo_miningcamp	1	[]	113, 41	1	1	ActionZoneElement	0	
arbo_miningcamp_qoro_wok	arbo_miningcamp	1	[]	23, 23	1	1	ActionZoneQuoroDispenser	0	
arbo_miningcamp_Quoro_Collector	arbo_miningcamp	1	[]	60, 60	1	1	ActionZoneQuoroReceiver	0	
arbo_miningcamp_quoru_drop_dummy	arbo_miningcamp	1	[]	15, 15	1	1	ActionZoneQuoroDropPoint	0	
arbo_miningcamp_quro_vat_1	arbo_miningcamp	1	[]	48, 48	1	1	ActionZoneElement	0	
arbo_miningcamp_random_miner	arbo_miningcamp	7	[]	31, 21	1	1	ActionZoneElement	0	
arbo_miningcamp_subgamescores	arbo_miningcamp	17	[]	51, 51	1	1	ActionZoneElement	0	
arbo_miningcamp_testRock	arbo_miningcamp	1	[]	18, 18	1	1	ActionZoneElement	0	
arbo_miningcamp_testRock_taskCard	taskCard	1	[]	180, 180	1	1	ActionZoneElement	0	
arbo_miningcamp_trapped_miner	arbo_miningcamp	8	[]	69, 59	1	1	ActionZoneElement	0	
arbo_quest_assignment_bkg	BKGRND	2	[#heightmap, #visual]	1540, 1200	1	1	ActionZoneBackground	1	
arbo_quest_assignment_block	arbo_quest_assignment	1	[]	52, 56	1	1	ActionZoneElement	0	
arbo_quest_assignment_item_throwingobject	arbo_quest_assignment	1	[]	21, 19	1	1	ActionZoneElement	0	
arbo_quest_assignment_portal	arbo_quest_assignment	8	[]	70, 70	1	1	ActionZoneElement	0	
arbo_slavecamp_bkg	BKGRND	2	[#heightmap, #visual]	800, 500	1	1	ActionZoneBackground	1	
arbo_slavecamp_bridge	arbo_slavecamp	1	[]	91, 134	1	1	ActionZoneElement	0	
arbo_slavecamp_taskmaster	arbo_slavecamp	1	[]	100, 100	0	5	ActionZoneElement	0	
arbo_slavecamp_taskmaster_boge	arbo_slavecamp	1	[]	27, 27	0	1	ActionZoneElement	0	
arbo_village_bkg	BKGRND	3	[#heightmap, #mask, #visual]	1540, 880	1	1	ActionZoneBackgroundWithMask	1	
arbo_village_fruitman	arbo_village	1	[]	44, 40	1	1	ActionZoneElement	0	
arbo_village_group_kids_1	arbo_village	1	[]	117, 69	1	1	ActionZoneElement	0	
arbo_village_maze_boulder1	arbo_village	1	[]	35, 46	1	1	ActionZoneElement	0	
arbo_village_maze_boulder2	arbo_village	1	[]	35, 37	1	1	ActionZoneElement	0	
arbo_village_maze_creatures	arbo_village	1	[]	14, 29	1	1	ActionZoneElement	0	
arbo_village_mazeguard	arbo_village	1	[]	44, 34	1	1	ActionZoneElement	0	
arbo_village_rooftop1	arbo_village	1	[]	60, 145	1	1	ActionZoneElement	0	
arbo_village_rooftop2	arbo_village	1	[]	123, 108	1	1	ActionZoneElement	0	
arbo_village_rooftop3	arbo_village	1	[]	80, 82	1	1	ActionZoneElement	0	
arbo_village_rooftop4	arbo_village	1	[]	109, 172	1	1	ActionZoneElement	0	
